类型,SKU,名称,简短描述,描述,促销价格,常规售价,分类,品牌,图片,父级,属性名1,属性值1
variable,474193,x Salomon Slam Jam XT-Quest 'Silver Metallic' 474193,,,100000,100000,Sneakers,Salomon,"https://images.novelship.com/product/x_salomon_slam_jam_xt_quest__silver_metallic__4741_0_72483.jpeg, https://images.novelship.com/product/x_salomon_slam_jam_xt_quest__silver_metallic__4741_1_72483.jpeg, https://images.novelship.com/product/x_salomon_slam_jam_xt_quest__silver_metallic__4741_2_72483.jpeg, https://images.novelship.com/product/x_salomon_slam_jam_xt_quest__silver_metallic__4741_3_72483.jpeg, https://images.novelship.com/product/x_salomon_slam_jam_xt_quest__silver_metallic__4741_4_72483.jpeg",474193,Size,"EU 36 ~~ US 4 men, EU 36 2/3 ~~ US 4.5 men, EU 37 1/3 ~~ US 5 men, EU 38 ~~ US 5.5 men, EU 38 2/3 ~~ US 6 men, EU 39 1/3 ~~ US 6.5 men, EU 40 ~~ US 7 men, EU 40 2/3 ~~ US 7.5 men, EU 41 1/3 ~~ US 8 men, EU 42 ~~ US 8.5 men, EU 42 2/3 ~~ US 9 men, EU 43 1/3 ~~ US 9.5 men, EU 44 ~~ US 10 men, EU 44 2/3 ~~ US 10.5 men, EU 45 1/3 ~~ US 11 men, EU 46 ~~ US 11.5 men, EU 46 2/3 ~~ US 12 men, EU 47 1/3 ~~ US 12.5 men, EU 48 ~~ US 13 men, EU 48 2/3 ~~ US 13.5 men, EU 49 1/3 ~~ US 14 men, EU 50 ~~ US 14.5 men, EU 50 2/3 ~~ US 15 men"
variation,,,,,100000,100000,,,,474193,Size,EU 36 ~~ US 4 men
variation,,,,,100000,100000,,,,474193,Size,EU 36 2/3 ~~ US 4.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 37 1/3 ~~ US 5 men
variation,,,,,100000,100000,,,,474193,Size,EU 38 ~~ US 5.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 38 2/3 ~~ US 6 men
variation,,,,,100000,100000,,,,474193,Size,EU 39 1/3 ~~ US 6.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 40 ~~ US 7 men
variation,,,,,100000,100000,,,,474193,Size,EU 40 2/3 ~~ US 7.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 41 1/3 ~~ US 8 men
variation,,,,,100000,100000,,,,474193,Size,EU 42 ~~ US 8.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 42 2/3 ~~ US 9 men
variation,,,,,100000,100000,,,,474193,Size,EU 43 1/3 ~~ US 9.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 44 ~~ US 10 men
variation,,,,,100000,100000,,,,474193,Size,EU 44 2/3 ~~ US 10.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 45 1/3 ~~ US 11 men
variation,,,,,100000,100000,,,,474193,Size,EU 46 ~~ US 11.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 46 2/3 ~~ US 12 men
variation,,,,,100000,100000,,,,474193,Size,EU 47 1/3 ~~ US 12.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 48 ~~ US 13 men
variation,,,,,100000,100000,,,,474193,Size,EU 48 2/3 ~~ US 13.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 49 1/3 ~~ US 14 men
variation,,,,,100000,100000,,,,474193,Size,EU 50 ~~ US 14.5 men
variation,,,,,100000,100000,,,,474193,Size,EU 50 2/3 ~~ US 15 men
variable,L47419300,Slam Jam Salomon XT-Quest 'Plum Kitten' L47419300,,,100000,100000,Sneakers,Salomon,https://images.novelship.com/product/slam_jam_x_salomon_xt-quest__plum_kitten__l4741930_0_75464.jpeg,L47419300,Size,"EU 36 ~~ US 4 men, EU 36 2/3 ~~ US 4.5 men, EU 37 1/3 ~~ US 5 men, EU 38 ~~ US 5.5 men, EU 38 2/3 ~~ US 6 men, EU 39 1/3 ~~ US 6.5 men, EU 40 ~~ US 7 men, EU 40 2/3 ~~ US 7.5 men, EU 41 1/3 ~~ US 8 men, EU 42 ~~ US 8.5 men, EU 42 2/3 ~~ US 9 men, EU 43 1/3 ~~ US 9.5 men, EU 44 ~~ US 10 men, EU 44 2/3 ~~ US 10.5 men, EU 45 1/3 ~~ US 11 men, EU 46 ~~ US 11.5 men, EU 46 2/3 ~~ US 12 men, EU 47 1/3 ~~ US 12.5 men, EU 48 ~~ US 13 men, EU 48 2/3 ~~ US 13.5 men, EU 49 1/3 ~~ US 14 men, EU 50 ~~ US 14.5 men, EU 50 2/3 ~~ US 15 men"
variation,,,,,100000,100000,,,,L47419300,Size,EU 36 ~~ US 4 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 36 2/3 ~~ US 4.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 37 1/3 ~~ US 5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 38 ~~ US 5.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 38 2/3 ~~ US 6 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 39 1/3 ~~ US 6.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 40 ~~ US 7 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 40 2/3 ~~ US 7.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 41 1/3 ~~ US 8 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 42 ~~ US 8.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 42 2/3 ~~ US 9 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 43 1/3 ~~ US 9.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 44 ~~ US 10 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 44 2/3 ~~ US 10.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 45 1/3 ~~ US 11 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 46 ~~ US 11.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 46 2/3 ~~ US 12 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 47 1/3 ~~ US 12.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 48 ~~ US 13 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 48 2/3 ~~ US 13.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 49 1/3 ~~ US 14 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 50 ~~ US 14.5 men
variation,,,,,100000,100000,,,,L47419300,Size,EU 50 2/3 ~~ US 15 men
