post_id,sku,variation_id,size,price
66649,HV9924-700,66661,EU 39 ~~ US 6.5 men,nan
66649,HV9924-700,66681,EU 50.5 ~~ US 16 men,nan
66649,HV9924-700,66685,EU 52.5 ~~ US 18 men,nan
66649,HV9924-700,66683,EU 51.5 ~~ US 17 men,nan
66649,HV9924-700,66684,EU 52 ~~ US 17.5 men,nan
66649,HV9924-700,66679,EU 50 ~~ US 15.5 men,nan
66649,HV9924-700,66677,EU 49 ~~ US 14.5 men,nan
66649,HV9924-700,66678,EU 49.5 ~~ US 15 men,nan
66649,HV9924-700,66682,EU 51 ~~ US 16.5 men,nan
66649,HV9924-700,66676,EU 48.5 ~~ US 14 men,nan
66649,HV9924-700,66675,EU 48 ~~ US 13.5 men,nan
66649,HV9924-700,66673,EU 47 ~~ US 12.5 men,nan
66649,HV9924-700,66672,EU 46 ~~ US 12 men,nan
66649,HV9924-700,66671,EU 45.5 ~~ US 11.5 men,nan
66649,HV9924-700,66670,EU 45 ~~ US 11 men,nan
66649,HV9924-700,66687,EU 53.5 ~~ US 19 men,nan
66649,HV9924-700,66667,EU 43 ~~ US 9.5 men,nan
66649,HV9924-700,66668,EU 44 ~~ US 10 men,nan
66649,HV9924-700,66665,EU 42 ~~ US 8.5 men,nan
66649,HV9924-700,66674,EU 47.5 ~~ US 13 men,nan
66649,HV9924-700,66664,EU 41 ~~ US 8 men,nan
66649,HV9924-700,66666,EU 42.5 ~~ US 9 men,nan
66649,HV9924-700,66658,EU 37.5 ~~ US 5 men,nan
66649,HV9924-700,66655,EU 35.5 ~~ US 3.5 men,nan
66649,HV9924-700,66656,EU 36 ~~ US 4 men,nan
66649,HV9924-700,66659,EU 38 ~~ US 5.5 men,nan
66649,HV9924-700,66663,EU 40.5 ~~ US 7.5 men,nan
66649,HV9924-700,66654,EU 35 ~~ US 3 men,nan
66649,HV9924-700,66660,EU 38.5 ~~ US 6 men,nan
66649,HV9924-700,66662,EU 40 ~~ US 7 men,nan
66649,HV9924-700,66657,EU 36.5 ~~ US 4.5 men,nan
66649,HV9924-700,66669,EU 44.5 ~~ US 10.5 men,nan
66649,HV9924-700,66686,EU 53 ~~ US 18.5 men,nan
